country,"2000 (1998-2002)","2008 (2006-2010)","2015 (2013-2017)","2023 (2018-2022)",abs_change_since_2015,per_change_since_2015
Lao PDR,44.3,30.4,21.8,16.3,-5.5,-25.2
Latvia,<5,<5,<5,<5,—,—
Lebanon,—,—,—,—,—,—
Lesotho,32.5,27.8,30.6,35.5,4.9,16
Liberia,48,36.4,32.9,32.2,-0.7,-2.1
Libya,16.6,12.8,18.5,16.1,-2.4,-13
Lithuania,7.6,5.1,<5,<5,—,—
Madagascar,42.4,36.6,38.9,41,2.1,5.4
Malawi,43.1,29.2,22.9,21.1,-1.8,-7.9
Malaysia,15.4,13.7,12,12.5,0.5,4.2
Maldives,—,—,—,—,—,—
Mali,41.9,32.2,27.1,25.6,-1.5,-5.5
Mauritania,30.5,18.8,22.4,21,-1.4,-6.2
Mauritius,15.4,13.9,13.5,13.6,0.1,0.7
Mexico,10.2,9.9,6.7,6,-0.7,-10.4
Moldova (Rep. of),18.6,17,<5,<5,—,—
Mongolia,29.9,16.7,7.4,7.5,0.1,1.4
Montenegro,—,5.2,<5,<5,—,—
Morocco,15.8,12.2,9.1,9,-0.1,-1.1
Mozambique,48.2,35.6,37,30.5,-6.5,-17.6
Myanmar,40.2,29.7,17.3,16.1,-1.2,-6.9
Namibia,26.4,29.2,22.2,18,-4.2,-18.9
Nepal,37.2,29,21.3,15,-6.3,-29.6
Nicaragua,22.3,17.5,14.6,13,-1.6,-11
Niger,53.3,39.5,35.2,35.1,-0.1,-0.3
Nigeria,39.9,31.2,27.8,28.3,0.5,1.8
North Macedonia,7.5,5.3,5.3,<5,—,—
Oman,14.8,11.2,11.2,8.3,-2.9,-25.9
Pakistan,36.7,31.3,28.8,26.6,-2.2,-7.6
Panama,18.6,13,8.7,7.9,-0.8,-9.2
Papua New Guinea,33.5,32.9,28.5,27.4,-1.1,-3.9
Paraguay,11.8,10.1,5.1,6,0.9,17.6
Peru,20.6,14,7.7,7.2,-0.5,-6.5
Philippines,25,19.1,18.3,14.8,-3.5,-19.1
Qatar,—,—,—,—,—,—
Romania,7.9,5.8,5.1,<5,—,—
Russian Federation,10.2,5.8,6.3,5.8,-0.5,-7.9
Rwanda,49.7,33.1,28.3,25.4,-2.9,-10.2
Saudi Arabia,12.3,10.6,9.1,7.3,-1.8,-19.8
Senegal,34.3,21.8,18,15,-3,-16.7
Serbia,—,5.8,<5,<5,—,—
Sierra Leone,57.4,45.4,32.8,31.3,-1.5,-4.6
Slovakia,7.2,5.7,5.7,<5,—,—
Solomon Islands,20.2,18.2,23.4,19.6,-3.8,-16.2
Somalia,63.6,59.2,—,—,—,—
South Africa,18,16.8,13.9,13,-0.9,-6.5
South Sudan,—,—,—,—,—,—
Sri Lanka,21.7,17.6,17.1,13.3,-3.8,-22.2
Sudan,—,—,28.5,27,-1.5,-5.3
Suriname,15.1,11,10.6,10.4,-0.2,-1.9
Syrian Arab Republic,13.9,16.2,23.9,26.1,2.2,9.2
Tajikistan,40.1,29.9,16.9,13.7,-3.2,-18.9
Tanzania (United Rep. of),40.7,30.2,24.6,23.2,-1.4,-5.7
Thailand,18.7,12.2,9.4,10.4,1,10.6
Timor-Leste,—,46.5,35.9,29.9,-6,-16.7
Togo,38.2,29.6,25.7,21.1,-4.6,-17.9
Trinidad & Tobago,11,10.7,10.7,10.8,0.1,0.9
Tunisia,10.3,7.4,6.4,5.9,-0.5,-7.8
Türkiye,10.1,5.7,<5,<5,—,—
Turkmenistan,20.3,14.5,11.4,10.3,-1.1,-9.6
Uganda,35,29,27.8,25.2,-2.6,-9.4
Ukraine,13,7.1,7.1,8.2,1.1,15.5
United Arab Emirates,<5,6.8,5.6,<5,—,—
Uruguay,7.6,5.3,<5,<5,—,—
Uzbekistan,24.2,14.9,5.9,5,-0.9,-15.3
Venezuela (Boliv. Rep. of),14.6,8.8,11.1,17.3,6.2,55.9
Viet Nam,26.1,20.1,14.5,11.4,-3.1,-21.4
Yemen,41.4,37.8,42.1,39.9,-2.2,-5.2
Zambia,53.2,44.9,33.2,28.5,-4.7,-14.2
Zimbabwe,35.5,30.7,27.6,28,0.4,1.4
