country,malnourished_2002,malnourished_2009,malnourished_2015,malnourished_2022,under5wasting_2002,,under5wasting_2010,,under5wasting_2017,,under5wasting_2022,,under5stunting_2002,,under5stunting_2010,,under5stunting_2017,,under5stunting_2022,,under5mortality_2000,under5mortality_2008,under5mortality_2015,under5mortality_2021
Bolivia (Plurinat. State of),27.8,24.9,16,19.4,1.6,,1.4,,2,,1.5,*,33.2,,27.1,,16.1,,18.1,*,7.6,4.7,3.2,2.5
Bosnia & Herzegovina,3.4,<2.5,<2.5,<2.5,7.4,,4,,3.6,*,3.4,*,12.1,,11.8,,8.6,*,7.5,*,1,0.8,0.6,0.6
Botswana,23.8,22.3,24.1,22.9,5.9,,7.3,,6,*,5.4,*,29.1,,28.9,,18.9,*,16.7,*,7.4,6.9,4.5,3.5
Brazil,10.7,5.1,<2.5,4.7,2.8,*,1.8,,2.1,*,3.1,,10,*,7,,7.1,*,7.2,,3.5,2.1,1.6,1.4
Bulgaria,3.9,4.4,3.7,<2.5,4.9,*,4.7,,5.9,,4.2,*,11.1,*,9.2,,7,,6.5,*,1.7,1.1,0.8,0.6
Burkina Faso,22.9,15.4,13.3,16.2,15.5,,11.3,,10.2,,10.1,,41.4,,35.1,,30.1,,22.1,,17.9,13.3,10.1,8.3
Burundi,—,—,—,—,8.1,,6,*,5.1,,4.9,,64,,56.8,*,55.9,,55.8,,15.5,10.3,6.8,5.3
Cabo Verde,15,13.3,21.4,18.2,4.1,*,3.2,*,3.1,*,3,*,15,*,10,*,8.7,*,7.8,*,3.8,2.8,2,1.4
Cambodia,24.3,15.2,6.9,4.8,17.1,,9.1,,9.7,,9.6,,49,,39.5,,32.4,,21.9,,10.6,5.1,3.2,2.5
Cameroon,22.7,11.1,4.4,6.4,7.3,,7.6,,5.2,,4.3,,36.6,,37.6,,31.7,,28.9,,14.4,11.8,8.8,7
Central African Republic,38.5,32.6,49.1,48.7,10.4,,12.1,,6.2,,5.3,,44.4,,43.6,,38,,40,,16.6,13.7,11.6,10
Chad,38.6,40.2,26.2,31.4,13.9,,16.3,,13.3,,8.3,,38.9,,38.7,,39.8,,28,,18.4,15.6,12.9,10.7
Chile,3.5,3.6,3.1,2.5,0.5,,0.3,,0.3,,0.3,*,3,,2,,1.8,,1.9,*,1.1,0.9,0.8,0.7
China,10.1,3.9,<2.5,<2.5,2.5,,2.6,,1.9,,1.7,*,17.8,,9.8,,6.5,,4.8,*,3.7,1.8,1.1,0.7
Colombia,8.9,11.5,4.9,6.6,1,,0.9,,1.6,,1,*,18.2,,12.6,,12.7,,10.2,*,2.5,2,1.6,1.3
Comoros,25.2,20,12.4,13.5,13.3,,9.2,*,10.6,*,9.9,*,46.9,,39.9,*,30.2,*,28.6,*,9.6,7.8,6.1,5
Congo (Republic of),27,36.1,27.7,33.3,9.2,*,8,*,8.2,,7.8,*,30.8,*,26.7,*,21.2,,24,*,11.4,6.9,5.3,4.3
Costa Rica,4.7,3.9,4.2,3,1.9,*,0.7,,1.1,*,1.8,,10.9,*,5.6,,5.2,*,9,,1.3,1.1,0.9,0.8
Côte d'Ivoire,18.2,18.9,11.9,7.7,6.9,,14.3,,6.1,,8.4,,31.2,,39,,21.6,,23.4,,14.3,11.4,9,7.5
Croatia,6.9,<2.5,<2.5,<2.5,1.3,*,1.1,*,1.1,*,1,*,1.3,*,0.9,*,0.9,*,0.8,*,0.8,0.6,0.5,0.5
Dem. Rep. of the Congo,27.9,28.4,30.2,35.3,15.9,,10.4,,8.1,,6.4,,44.4,,45.8,,42.7,,41.8,,16,12.3,9.6,7.9
Djibouti,42.1,21.3,21.3,16.8,19.4,,17,,13.9,,10.6,,27.1,,33,,28,,20.9,,10.1,8.1,6.6,5.4
Dominican Republic,20.6,16.2,7.4,6.3,1.5,,2.3,,2.4,,2.2,,7.7,,10.1,,7.1,,6.7,,4,3.6,3.5,3.3
Ecuador,21,21.1,9,13.9,2.7,,2.1,,1.6,,3.7,,27.9,,25.9,,23.9,,23,,3,2.1,1.5,1.2
Egypt,5.2,5.5,5.8,7.2,7,,7.9,,9.5,,5.4,*,24.4,,30.7,,22.3,,21.2,*,4.7,3.1,2.3,1.9
El Salvador,7.3,10,9.6,7.7,1.5,,1.6,,2.1,,1,*,32.3,,20.8,,13.6,,13.3,*,3.3,2.1,1.5,1.2
Equatorial Guinea,—,—,—,—,9.2,,3.1,*,3,*,3.9,*,42.7,,28.6,*,24.4,*,25.2,*,15.6,12,9.4,7.7
Eritrea,—,—,—,—,15,,14.6,,—,,—,,43,,52.5,,—,,—,,8.5,6,4.6,3.8
Estonia,3.5,<2.5,<2.5,<2.5,1.5,*,1.5,*,1.5,,1.3,*,1.5,*,1.1,*,1.2,,1.2,*,1.1,0.5,0.3,0.2
Eswatini,10.5,11.6,14.4,11.6,1.7,,1.1,,2,,1.2,*,36.5,,40.4,,25.5,,28.2,*,11.2,10.4,6.4,5.3
Ethiopia,46.7,33.5,14.5,21.9,12.4,,10.6,*,9.4,,6.8,,57.4,,49.9,*,39.4,,36.8,,14,9.2,6.2,4.7
Fiji,4,3.7,9.2,6.6,7,*,6.2,*,5.7,*,4.6,,6.7,*,5.6,*,4.7,*,7.2,,2.3,2.4,2.4,2.8
Gabon,10.8,16.8,16.3,23,4.2,,3.8,*,3.3,*,3.4,,25.9,,19.7,*,16.5,*,14.4,,8.4,6.7,5,4
Gambia,18,15.4,15.9,19.6,9.1,,8.5,,11,,5.1,,24.1,,25.5,,24.6,,17.5,,11.4,8.1,6,4.8
Georgia,7.2,3.5,3.6,2.9,3.1,,1.3,,0.6,*,0.6,,16.1,,11.8,,6,*,5.8,,3.7,1.7,1,0.9
Ghana,14.9,8.1,8.2,4.9,9.9,,8.7,,4.7,,6,,30.6,,28.4,,18.8,,17.5,,10,7.6,5.5,4.4
Guatemala,22.7,18.2,15.7,13.3,3.7,,1,,1.3,,0.8,,51,,51.5,,45,,46,,5.2,3.8,2.8,2.3
Guinea,18,12.2,12.9,12.9,10.3,,7.2,,8.1,,9.2,,46.9,,34,,32.4,,30.3,,16.6,12.7,11.3,9.9
Guinea-Bissau,15.8,16.1,35.1,37.9,11.8,,5.9,,6,,6.4,,33.8,,32,,27.6,,27.9,,17.4,12.6,9.2,7.4
Guyana,6.4,7.6,4.5,<2.5,12.1,,6.9,,6.4,,6.5,,13.9,,18.6,,11.3,,9.5,,4.7,3.9,3.3,2.8
Haiti,49.2,47,38.8,45,5.5,,10.2,,3.7,,3.9,*,28.8,,29.6,,21.9,,19.1,*,10.4,8.3,7,5.9
Honduras,22.4,21,15.5,18.7,1.3,,1.4,,1.3,*,1.9,,35.5,,29.8,,24.3,*,18.7,,3.7,2.7,2.1,1.7
Hungary,<2.5,<2.5,<2.5,<2.5,4.8,*,4.5,*,4.2,*,4,*,9.8,*,7.6,*,6.8,*,6.4,*,1,0.7,0.5,0.4
India,18.3,16.2,14,16.6,17.8,,20,,18,,18.7,,51,,47.8,,38.3,,35.5,,9.2,6.5,4.4,3.1
Indonesia,19,17.4,7.3,5.9,5.5,,14.8,,13.5,,10.2,,42.3,,40.1,,36.4,,30.8,,5.2,3.7,2.8,2.2
Iran (Islamic Republic of),5,5.8,6.3,6.1,6.1,,4.3,*,4.3,,4.1,*,20.4,,8,*,4.8,,7.1,*,3.6,2.2,1.6,1.3
Iraq,21.7,16.9,17.3,16.3,6.6,,5.8,,4.4,*,3,,28.1,,27.5,,16.7,*,12.6,,4.4,3.7,3,2.5
Jamaica,7.6,9.4,8,8.3,3,,2.6,,3.5,,3.2,,7.2,,6.2,,7.7,,4.6,,2.1,1.8,1.5,1.2
Jordan,—,—,—,—,2.5,,1.6,,1.6,*,0.6,,11.7,,8.2,,7.6,*,7.4,,2.7,2.1,1.8,1.5
Kazakhstan,6.3,4.2,<2.5,<2.5,2.5,,4.9,,3.1,,3.9,*,13.2,,17.5,,8,,8.5,*,4.3,2.5,1.2,1
Kenya,32.3,27,20,27.8,7.4,,6.9,,5.6,,4.9,,40.8,,35.5,,28,,17.6,,9.9,6.3,4.6,3.7
Korea (DPR),35.7,40.3,40.5,45.5,12.2,,5.2,,2.5,,6.1,*,51,,32.4,,19.1,,16.8,*,6,3.2,2.1,1.5
Kuwait,2.8,<2.5,<2.5,<2.5,2.2,,2.2,,3,,2.3,,4,,5.1,,5.2,,6.4,,1.3,1.1,0.9,0.9
Kyrgyzstan,14.6,8.5,5.8,4.8,2.6,*,1.4,,2.8,,2,,22,*,22.6,,12.9,,11.8,,5,3.4,2.2,1.7
Lao PDR,31.4,18.6,6.7,4.7,17.5,,7.4,,9.7,,7.3,*,47.5,,47.7,,35.5,,26,*,10.7,7.5,5.4,4.3
Latvia,4.6,<2.5,<2.5,<2.5,1.8,*,1.6,*,1.6,*,1.6,,1.3,*,0.6,*,0.6,*,0.5,,1.4,0.9,0.5,0.4
Lebanon,—,—,—,—,3.4,*,3,*,2.9,*,1.4,,13.5,*,10.7,*,9.3,*,7,,2,1.2,0.9,0.8
Lesotho,20.7,12.3,31.9,46,6.1,*,3.8,,2.8,,2.1,,43.5,*,42,,33.4,,34.6,,10.7,11.1,8.2,7.3
Liberia,36.3,29.5,35.9,38.4,7.4,,7.9,,4.3,,3.4,,45.3,,39.6,,30.1,,29.8,,18.9,10.8,8.8,7.6
Libya,3.5,5.6,6.1,8.4,8.8,*,6.5,,10.2,,8.1,*,32,*,21,,38.1,,29.8,*,2.8,1.9,1.3,1.1
Lithuania,<2.5,<2.5,<2.5,<2.5,6.5,*,5.2,*,5.2,*,4.8,,10.1,*,5.6,*,5.1,*,4.1,,1.1,0.7,0.5,0.3
Madagascar,34.1,30.7,40.4,51,9.6,*,8.8,*,7.5,,7.2,,54.2,*,49.4,,48.9,,39.8,,10.5,7.5,6.6,6.6
Malawi,23.4,18.3,13.9,17.8,6.8,,1.9,,3.7,,2.3,,54.7,,48.8,,40.5,,35.2,,17.4,9.3,5.7,4.2
Malaysia,<2.5,3.5,6.1,2.7,15.3,,13.2,,8,,9.7,,20.7,,17.5,,17.7,,21.8,,1,0.8,0.8,0.8
Maldives,—,—,—,—,13.4,,10.6,,9.1,,9.3,*,31.9,,19,,15.3,,15.3,*,3.9,1.6,1,0.6
Mali,16.6,9.6,4.2,12.8,12.6,,12.2,,13,,10.6,,42.5,,32.7,,29.7,,21.8,,18.8,14.3,11.6,9.7
Mauritania,8.2,6.9,6.8,8.7,15.3,,8.1,,14.8,,13.6,,38.6,,23.6,,27.9,,25.1,,9.9,6.1,4.9,4
Mauritius,5.8,5,5.9,6.8,14.7,*,13.7,*,12.7,*,12.1,*,12.8,*,11.8,*,10.8,*,10.3,*,1.9,1.5,1.5,1.7
Mexico,3.2,4.4,3.9,<2.5,2,,3.5,,1,,1.7,,21.4,,17.5,,12.4,,12.8,,2.8,2.1,1.6,1.3
Moldova (Republic of),24.4,27.7,<2.5,<2.5,4.2,*,3.3,*,3,*,2.7,*,13.4,*,8.1,*,6.4,*,5.2,*,3.1,1.8,1.6,1.4
Mongolia,30.5,21.9,7.6,8,7.1,,1.7,,1.2,,0.9,,29.8,,15.4,,7.3,,9.4,,6.4,3.1,1.9,1.5
Montenegro,—,<2.5,<2.5,<2.5,—,,4.2,,2.8,,2.2,,—,,7.9,,9.4,,7.2,,—,0.8,0.4,0.2
Morocco,6.3,5.7,3.8,6.3,4,*,3.4,*,3,*,2.3,,25.3,*,19.2,*,15.1,*,14.2,,5.2,3.5,2.4,1.8
Mozambique,36.9,29.2,39.5,30.5,8.1,,4.2,,4.4,,3.9,,50.7,,43.5,,42.3,,37.5,,17.1,11.3,8.4,7
Myanmar,38.6,18.1,4.1,3.8,10.7,,7.9,,6.6,,7.4,,40.8,,35.1,,29.4,,26.7,,8.9,9.9,5.2,4.2
Namibia,15.6,30.6,20.3,17.1,10,,7.6,,7.1,,5.7,*,29.3,,29.2,,22.7,,16.6,*,7.7,5.5,4.6,3.9
Nepal,24.1,13.1,6.3,5.4,11.3,,12.7,,11.5,,7.7,,56.1,,49.1,,37.2,,24.8,,7.9,5.1,3.6,2.7
Nicaragua,27.1,20.9,19.3,17.8,2.3,,1.5,,1.3,*,1.2,*,25.1,,23.1,,16.8,*,15.5,*,3.9,2.6,1.9,1.3
Niger,23.3,17.8,12.4,16.1,16.2,,13.4,,13.6,,10.9,,53.5,,45.4,,46.4,,47.7,,22.9,14.5,12,11.5
Nigeria,8.8,6.7,9.3,15.9,13.1,*,9.7,*,7.3,,6.5,,48.9,*,40.1,*,33,,31.5,,18.2,14.2,12.6,11.1
North Macedonia,7.4,2.8,3.6,3.6,1.8,,2.4,*,2.4,*,3.4,,8,,6.8,*,5.8,*,4.3,,1.6,1.2,1.1,0.5
Oman,12.4,9,6.3,2.8,7.8,,7.1,,7.5,,6.6,*,15.8,,9.8,,14.1,,10.8,*,1.6,1.2,1.1,1
Pakistan,20.8,15.2,12.1,18.5,14.1,,11.7,*,10.5,,7.1,,41.4,,41.1,*,45,,37.6,,10.8,9.1,7.6,6.3
Panama,24.5,14.1,7.3,5.3,1.4,*,1.2,,1.1,*,1.1,,21.6,*,19,,14.5,*,15.9,,2.6,2.1,1.7,1.4
Papua New Guinea,26.8,27.6,22.5,23.4,7.7,*,7.9,*,7.3,*,7.1,*,47.6,*,46.8,*,42.8,*,40.2,*,7.1,6.1,5.1,4.3
Paraguay,10.4,9.5,2.6,4.2,1.6,,1.4,*,1,,1.3,*,14,*,11.3,*,5.6,,7.7,*,3.4,2.8,2.2,1.8
Peru,21.4,11.4,5.5,7,1.1,,0.8,,0.6,,0.4,,31.3,,28,,14.7,,11.5,,3.8,2.2,1.7,1.4
Philippines,18.9,11.3,9.1,5.2,8,,6.6,,6.8,,5.7,,38.3,,32,,33.1,,29.6,,3.8,3.3,3,2.6
Qatar,—,—,—,—,1.6,*,1.2,*,1.2,*,1.2,*,2.2,*,1.4,*,1.3,*,1.9,*,1.2,1,0.8,0.5
Romania,<2.5,<2.5,<2.5,<2.5,4.3,,3.2,*,3.3,*,3.3,*,12.8,,10.8,*,9.6,*,8.7,*,2.1,1.4,0.9,0.6
Russian Federation,4,<2.5,<2.5,<2.5,4.9,,2.9,*,4.5,*,4.4,*,16.7,*,11.2,*,11.1,*,10.9,*,1.9,1.1,0.8,0.5
Rwanda,38,28.6,32.6,31.6,8.7,,5.1,,2.2,,1.1,,47.9,,46.6,,37.6,,33.1,,18.5,7.6,4.8,3.9
Saudi Arabia,5.4,5.8,4.6,3.8,6.6,*,5.8,*,5.5,,4.4,,18.1,*,15.2,*,13.7,,10.8,,2.2,1.4,0.9,0.7
Senegal,24.5,11.8,9.5,5.7,10,,8.5,*,8.4,,8.1,,26,,21.6,*,19.1,,18.4,,13,7.4,5.1,3.9
Serbia,—,<2.5,<2.5,<2.5,—,,4,,3.9,,2.6,,—,,7.4,,6,,5.4,,—,0.8,0.6,0.5
Sierra Leone,50.4,40.1,23.7,27.8,11.6,,7.5,,4.6,,6.3,,35.5,,32.7,,29.1,,26.3,,22.6,17.6,14.1,10.5
Slovakia,6.1,4.9,5.5,2.8,1.6,*,1.4,*,1.4,*,1.3,*,11.9,*,9.1,*,8.5,*,8.6,*,1,0.7,0.6,0.6
Solomon Islands,12.7,12.8,21.6,19,6.5,*,4.3,,8.5,,5.6,*,35.1,*,32.8,,31.7,,28.6,*,3.1,2.8,2.3,1.9
Somalia,70.6,70.5,58.2,48.7,19.3,,14.3,,—,,—,,29.2,,25.3,,—,,—,,17.3,16.7,13.4,11.2
South Africa,3.8,3.6,6.5,7.9,4.5,,5.1,,4.6,,3.2,*,30.1,,24.9,,21.4,,19.9,*,7.1,6.8,3.7,3.3
South Sudan,—,—,—,21.4,—,,—,,—,,—,,—,,—,,—,,—,,—,—,9.9,9.9
Sri Lanka,16.5,10.8,9.1,5.3,15.9,,13.5,,15.1,,13.1,*,18.3,,18.7,,17.3,,13.1,*,1.7,1.2,0.9,0.7
Sudan,—,—,9.7,11.9,—,,—,,16.3,,13.7,*,—,,—,,38.2,,38.5,*,—,—,6.6,5.5
Suriname,11.8,8.4,9,9,7,,5,,5.1,*,5.5,,14.1,,9.7,,8.9,*,8.3,,3.1,2.5,2,1.7
Syrian Arab Republic,7.6,3.9,11.1,27.8,4.9,,10.9,,12.9,*,10.8,*,24.3,,28.3,,34,*,27,*,2.3,1.9,4.2,2.2
Tajikistan,40.4,34.4,16.3,9.3,9.4,,5.6,,3.5,,5,*,42.1,,34.1,,19.6,,17.1,*,8.4,4.6,3.7,3.1
Tanzania (United Rep. of),32.8,25.6,20.5,23.5,5.6,,2.9,,4.2,,3.3,,48.3,,43.2,,34.6,,30,,13,8,5.8,4.7
Thailand,17.3,10.6,6.9,5.2,7.6,*,4.7,,5.4,,7.7,,21.7,*,15.7,,10.5,,13.4,,2.2,1.5,1.1,0.8
Timor-Leste,42.8,33,27.6,22.3,13.7,,21.3,,12.2,,8.3,,55.7,,57.2,,49.2,,46.7,,—,7.7,6.2,5.1
Togo,31.6,25.8,19.8,17.4,12.1,,6,,6.6,,4.7,*,28.8,,26.9,,27.6,,22.2,*,12,9.5,7.6,6.3
Trinidad & Tobago,10,9.7,11.3,12.2,5.2,,5.3,*,5,*,5.1,*,5.3,,5.8,*,5.3,*,5.7,*,2.8,2.4,2,1.6
Tunisia,4.4,3.8,2.8,3,2.9,,3.4,,2.9,*,2.1,,16.8,,9,,8.6,*,8.4,,3,1.9,1.7,1.6
Türkiye,<2.5,<2.5,<2.5,<2.5,3,,1,,1.9,,1.7,,18.8,,12.5,,10,,6,,3.8,2.1,1.3,0.9
Turkmenistan,6.4,3.9,5.5,5.7,8,,7.2,,4.2,,4.1,,27.2,,18.9,,11.5,,7.2,,7,4.6,4.2,4.1
Uganda,18.4,20.7,30.2,31.6,5,,5.3,,4.2,,3.6,,44.9,,38.3,,31.8,,25.4,,14.6,8.7,5.6,4.2
Ukraine,3,<2.5,<2.5,4.8,8.2,,2.6,*,2.6,*,2.7,*,22.9,,16.8,*,17,*,16.4,*,1.8,1.3,0.9,0.8
United Arab Emirates,3.1,7.4,4.8,<2.5,2.7,*,3.9,*,4,*,3.9,*,3.1,*,2.7,*,2.7,*,2.6,*,1.1,0.9,0.8,0.6
Uruguay,3.4,<2.5,<2.5,<2.5,1.7,,1.4,,1,,1.4,,15.3,,11.8,,7.9,,6.9,,1.7,1.2,0.9,0.6
Uzbekistan,18,11.3,<2.5,<2.5,9,,4.4,,1.8,,2.4,,24.9,,19.6,,10.8,,6.5,,6.1,3.3,1.9,1.4
Venezuela (Boliv. Rep. of),14.8,2.8,10.8,17.9,3.9,,4.5,,3.5,*,4.8,*,17.4,,14.6,,11.8,*,20.7,*,2.2,1.7,1.9,2.4
Viet Nam,19.5,12.6,7.1,5,9,,9.4,,6.4,,4.7,,42.7,,30.8,,24.6,,19.6,,3,2.4,2.2,2.1
Yemen,26.2,25.4,38.7,34.5,15.6,*,13.8,,16.4,,14.4,*,53.4,*,57,,46.4,,48.7,*,9.5,6.3,6.1,6.2
Zambia,50.4,54,33,29.8,5.9,,5.6,,6.2,,4.2,,59.2,,45.8,,40,,34.6,,15.6,8.8,6.8,5.8
Zimbabwe,33,28.7,32.6,38.4,8.3,,2.4,,3.3,,2.9,,33.8,,35.1,,27.1,,23.5,,9.6,9.5,6,5
